asof,collected_at_utc,ticker,target_end_date,eps_estimate,currency,proxy_weight
2026-09-03,2026-09-03T23:29:18+00:00,SNDK,2028-06-30,264.72162,USD,0.0049406185711234
2026-09-03,2026-09-03T23:29:18+00:00,SPCX,2027-12-31,1.78186,USD,0.0428319839796172
2026-09-03,2026-09-03T23:29:18+00:00,TMUS,2027-12-31,13.89549,USD,0.0043765020402926
2026-09-03,2026-09-03T23:29:18+00:00,TSLA,2027-12-31,2.15858,USD,0.0322561728192577
2026-09-03,2026-09-03T23:29:18+00:00,TXN,2027-12-31,10.1005,USD,0.0050302297653726
2026-09-03,2026-09-03T23:29:18+00:00,WMT,2028-01-31,3.23097,USD,0.0186656874966003
2026-09-04,2026-09-04T23:14:15+00:00,AAPL,2027-09-30,9.56691,USD,0.1016914675885845
2026-09-04,2026-09-04T23:14:15+00:00,AMAT,2027-10-31,18.45479,USD,0.0078583308720436
2026-09-04,2026-09-04T23:14:15+00:00,AMD,2027-12-31,15.45073,USD,0.016977711448882
2026-09-04,2026-09-04T23:14:15+00:00,AMGN,2027-12-31,24.40753,USD,0.0051476293626721
2026-09-04,2026-09-04T23:14:15+00:00,AMZN,2027-12-31,10.49168,USD,0.0607219848841709
2026-09-04,2026-09-04T23:14:15+00:00,ARM,2028-03-31,3.06084,USD,0.0058630262200725
2026-09-04,2026-09-04T23:14:15+00:00,ASML,2027-12-31,51.71021,EUR,0.014344109683073
2026-09-04,2026-09-04T23:14:15+00:00,AVGO,2027-10-31,19.37208,USD,0.037079791999687
2026-09-04,2026-09-04T23:14:15+00:00,COST,2027-08-31,22.67209,USD,0.0088438343920097
2026-09-04,2026-09-04T23:14:15+00:00,CRWD,2028-01-31,1.6036,USD,0.004751725422101
2026-09-04,2026-09-04T23:14:15+00:00,CSCO,2028-07-31,5.60226,USD,0.0093756082274506
2026-09-04,2026-09-04T23:14:15+00:00,GOOG,2027-12-31,14.85423,USD,0.0893030309234267
2026-09-04,2026-09-04T23:14:15+00:00,GOOGL,2027-12-31,14.86428,USD,0.090141968039512
2026-09-04,2026-09-04T23:14:15+00:00,INTC,2027-12-31,2.04217,USD,0.0109621224240219
2026-09-04,2026-09-04T23:14:15+00:00,KLAC,2028-06-30,6.68948,USD,0.0052807852266293
2026-09-04,2026-09-04T23:14:15+00:00,LIN,2027-12-31,18.24765,USD,0.0047941855095587
2026-09-04,2026-09-04T23:14:15+00:00,LRCX,2028-06-30,11.57261,USD,0.0083834194820066
2026-09-04,2026-09-04T23:14:15+00:00,META,2027-12-31,33.94621,USD,0.0342163801667541
2026-09-04,2026-09-04T23:14:15+00:00,MRVL,2028-01-31,6.72085,USD,0.0043750921495287
2026-09-04,2026-09-04T23:14:15+00:00,MSFT,2028-06-30,23.57328,USD,0.0808040775464408
2026-09-04,2026-09-04T23:14:15+00:00,MU,2027-08-31,155.02524,USD,0.0250026791717015
2026-09-04,2026-09-04T23:14:15+00:00,NFLX,2027-12-31,3.81626,USD,0.0070955216420947
2026-09-04,2026-09-04T23:14:15+00:00,NVDA,2028-01-31,15.4581,USD,0.121133929812386
2026-09-04,2026-09-04T23:14:15+00:00,PANW,2027-07-31,2.27939,USD,0.0059147496210375
2026-09-04,2026-09-04T23:14:15+00:00,PLTR,2027-12-31,2.31424,USD,0.0091228813832215
2026-09-04,2026-09-04T23:14:15+00:00,SNDK,2028-06-30,264.72162,USD,0.0055480739525458
